"scenario","replicate","method","success","error","positive_definite","condition_number"
"parent_excitation_sparse",37,"one_step_gamma_poisson",TRUE,"",TRUE,965.394344781731
"parent_excitation_dense",37,"recursive_gamma_poisson",TRUE,"",TRUE,149909.995313707
"parent_excitation_dense",37,"one_step_gamma_poisson",TRUE,"",TRUE,93993.1387064104
"standard",38,"recursive_gamma_poisson",TRUE,"",TRUE,2435.33877572919
"standard",38,"one_step_gamma_poisson",TRUE,"",TRUE,1427.98824809924
"parent_excitation_sparse",38,"recursive_gamma_poisson",TRUE,"",TRUE,34820.0399808812
"parent_excitation_sparse",38,"one_step_gamma_poisson",TRUE,"",TRUE,1716.14253563035
"parent_excitation_dense",38,"recursive_gamma_poisson",TRUE,"",TRUE,8065.13417175304
"parent_excitation_dense",38,"one_step_gamma_poisson",TRUE,"",TRUE,8163.74073958143
"standard",39,"recursive_gamma_poisson",TRUE,"",TRUE,2498.71056548219
"standard",39,"one_step_gamma_poisson",TRUE,"",TRUE,2403.07936906238
"parent_excitation_sparse",39,"recursive_gamma_poisson",TRUE,"",TRUE,32199.0385788195
"parent_excitation_sparse",39,"one_step_gamma_poisson",TRUE,"",TRUE,10273.7037813441
"parent_excitation_dense",39,"recursive_gamma_poisson",TRUE,"",TRUE,132081.888684249
"parent_excitation_dense",39,"one_step_gamma_poisson",TRUE,"",TRUE,59895.675316748
"standard",40,"recursive_gamma_poisson",TRUE,"",TRUE,1605.99255911889
"standard",40,"one_step_gamma_poisson",TRUE,"",TRUE,837.063329920842
"parent_excitation_sparse",40,"recursive_gamma_poisson",TRUE,"",TRUE,38160.8679366091
"parent_excitation_sparse",40,"one_step_gamma_poisson",TRUE,"",TRUE,1061.30519733378
"parent_excitation_dense",40,"recursive_gamma_poisson",TRUE,"",TRUE,109674.089463738
"parent_excitation_dense",40,"one_step_gamma_poisson",TRUE,"",TRUE,70700.4508320974
"standard",41,"recursive_gamma_poisson",TRUE,"",TRUE,3200.61072885957
"standard",41,"one_step_gamma_poisson",TRUE,"",TRUE,1503.55062329106
"parent_excitation_sparse",41,"recursive_gamma_poisson",TRUE,"",TRUE,6109.02077882288
"parent_excitation_sparse",41,"one_step_gamma_poisson",TRUE,"",TRUE,6190.21541042099
"parent_excitation_dense",41,"recursive_gamma_poisson",TRUE,"",TRUE,9622.16670492705
"parent_excitation_dense",41,"one_step_gamma_poisson",TRUE,"",TRUE,8136.55913942938
"standard",42,"recursive_gamma_poisson",TRUE,"",TRUE,1966.36505989744
"standard",42,"one_step_gamma_poisson",TRUE,"",TRUE,958.354526966248
"parent_excitation_sparse",42,"recursive_gamma_poisson",TRUE,"",TRUE,11713.8896126785
"parent_excitation_sparse",42,"one_step_gamma_poisson",TRUE,"",TRUE,2694.72639116976
"parent_excitation_dense",42,"recursive_gamma_poisson",TRUE,"",TRUE,21298.9811529349
"parent_excitation_dense",42,"one_step_gamma_poisson",TRUE,"",TRUE,14724.0781153806
"standard",43,"recursive_gamma_poisson",TRUE,"",TRUE,3603.83091955626
"standard",43,"one_step_gamma_poisson",TRUE,"",TRUE,1039.80316007651
"parent_excitation_sparse",43,"recursive_gamma_poisson",TRUE,"",TRUE,3794.39702634979
"parent_excitation_sparse",43,"one_step_gamma_poisson",TRUE,"",TRUE,11267.0802163569
"parent_excitation_dense",43,"recursive_gamma_poisson",TRUE,"",TRUE,17390.1517820064
"parent_excitation_dense",43,"one_step_gamma_poisson",TRUE,"",TRUE,65774.9921287677
"standard",44,"recursive_gamma_poisson",TRUE,"",TRUE,4606.13189137443
"standard",44,"one_step_gamma_poisson",TRUE,"",TRUE,566.490100082255
