"regime","replicate","curve_rmse","coverage_at_80","error_at_80","width_at_80","robust_weight"
"biased_robust_800",26,0.207137007247895,FALSE,0.186780382883269,0.215342266430166,0.472568812898862
"correct_full_200",26,0.157127503489127,FALSE,0.127476663726504,0.184941090392788,NA
"correct_full_50",26,0.275787888720378,FALSE,0.203626324554792,0.187022601077403,NA
"correct_full_800",26,0.0862548540130492,FALSE,0.042394506975867,0.0876253154450654,NA
"weak",26,0.329668474589722,FALSE,0.233681623953377,0.1707687958611,NA
"biased_full_800",27,0.0633149733146081,FALSE,0.101890947262205,0.0907567319409002,NA
"biased_robust_800",27,1.03654152559793,TRUE,-0.100929159491066,0.24652583062805,0.000869882631026727
"correct_full_200",27,0.146139700740589,FALSE,0.141015448504286,0.184190532159928,NA
"correct_full_50",27,0.198009300794795,FALSE,0.238229015959509,0.321011813895889,NA
"correct_full_800",27,0.0920579563347125,FALSE,0.0463448764197573,0.082636724544785,NA
"weak",27,1.03685427232871,TRUE,-0.0970451024820549,0.266086456288535,NA
"biased_full_800",28,0.0957820326912714,FALSE,0.0870326598197458,0.0727300890379325,NA
"biased_robust_800",28,0.0954518064476358,FALSE,0.0863200550236461,0.0748573614289412,0.981416743572843
"correct_full_200",28,0.178665835771806,TRUE,0.00669920985155065,0.104426465288248,NA
"correct_full_50",28,0.17605656107576,TRUE,0.0332842826513003,0.135927777209872,NA
"correct_full_800",28,0.121851135644307,TRUE,0.0142057602803123,0.062586704541947,NA
"weak",28,0.177892993011776,TRUE,0.0343226221596306,0.14128427644279,NA
"biased_full_800",29,0.0920100565768894,FALSE,0.150136330486059,0.0911009934273492,NA
"biased_robust_800",29,1.00915039544899,TRUE,0.0146382650681314,0.390037982813652,0.00370390278836153
"correct_full_200",29,0.0475974640429353,TRUE,0.0392930992308077,0.206165981019362,NA
"correct_full_50",29,0.212503374161221,FALSE,0.30013657231267,0.413330535468922,NA
"correct_full_800",29,0.00371947040313631,TRUE,0.00605526150726959,0.0775083295233341,NA
"weak",29,1.01418882953972,TRUE,0.00644702782920814,0.373270493715253,NA
"biased_full_800",30,0.115485425623607,FALSE,0.166717269515486,0.0947892344329831,NA
"biased_robust_800",30,0.601547335336392,TRUE,0.314449705779524,1.14482911595345,0.00870233330651035
"correct_full_200",30,0.131231699147844,FALSE,0.207908223269073,0.244894047485098,NA
"correct_full_50",30,0.863977879055597,FALSE,0.230433573995452,0.307028108405925,NA
"correct_full_800",30,0.143233980980514,TRUE,0.0370623307919609,0.0858008433677047,NA
"weak",30,0.621562683046572,TRUE,0.317496046006486,1.13990896353557,NA
