"parameter","truth","prior_mean","prior_sd","posterior_mean","posterior_sd","q025","median","q975","covers_truth","contraction","standardized_bias","rhat","ess","transitions","prior_regime"
"survival_at_80",0.36,1.11,0.3,0.364541508381346,0.019154657320842,0.328836101975399,0.364668956408358,0.401738410585204,TRUE,0.93615114226386,0.237096822212784,1.0035320715673,307.619452231457,12,"informative_wrong"
"survival_slope_20",0.64,0.64,0.2,0.634666772210788,0.00983552147780369,0.61416231355108,0.6353135785172,0.653062861265505,TRUE,0.950822392610982,-0.542241486762836,1.01678836627793,194.35691168878,12,"informative_wrong"
"growth_increment_80",8.4,5.4,2,8.02597922960931,0.157914243309937,7.69443410968061,8.0277560772701,8.33201445716601,FALSE,0.921042878345032,-2.36850560501121,1.00603669216083,308.015120362663,12,"informative_wrong"
"growth_slope_20",-2.4,-2.4,1,-2.31378803680946,0.0511157136570661,-2.41260430426797,-2.31529084958597,-2.20659729259654,TRUE,0.948884286342934,1.68660392318763,1.00501424031882,286.363249506282,12,"informative_wrong"
"log_growth_sd",1.50407739677627,1.50407739677627,0.2,1.57373192369406,0.0364326296186272,1.4977295096564,1.57380054765665,1.64213338412548,TRUE,0.817836851906864,1.91187206761953,1.02336105511728,272.621354400261,12,"informative_wrong"
"log_recruitment_at_80",-1.69314718055995,-0.943147180559945,0.3,-1.43609146572841,0.0612109175095226,-1.56424086158259,-1.43346638127074,-1.32158947555519,FALSE,0.795963608301591,4.19950762527857,1.01546660836659,314.070078953885,12,"informative_wrong"
"recruitment_slope_20",1.5,1.5,0.3,1.415217263873,0.0333674785477547,1.35150660146428,1.41381945240476,1.48719907708746,FALSE,0.888775071507484,-2.54087931773628,1.01417612628588,343.165239991001,12,"informative_wrong"
"recruit_mean_80",44.6,44.6,2,44.6504655204877,0.185260300515575,44.2752610593981,44.648610915166,45.0008865139475,TRUE,0.907369849742212,0.272403317641622,1.02589133574426,249.035206129526,12,"informative_wrong"
"recruit_mean_slope_20",0.4,0.4,0.5,0.387247460812059,0.0730786149942684,0.24641828728426,0.387988761149959,0.53688258560026,TRUE,0.853842770011463,-0.1745043907707,1.0273672647019,250.734182175444,12,"informative_wrong"
"log_recruit_sd",1.25276296849537,1.25276296849537,0.2,1.31246522798712,0.00802116724059489,1.29656416124199,1.31279761421774,1.32756236740412,FALSE,0.959894163797026,7.44308873022915,1.01685791437263,359.711267479041,12,"informative_wrong"
