"scenario_id","design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","process_model","failed","error","process_model","convergence","positive_definite","condition_number","laplace_draws","parameter_coverage","derived_coverage","parameter_mean_abs_z","derived_mean_abs_z"
59,"three_by_four",3,4,2500,1,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,5776.4481957021,500,1,1,0.44078452782721,0.462905044057452
60,"six_by_two",6,2,2500,1,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,6231.5368177348,500,0.6,0.733333333333333,1.42899160347743,1.10429984639287
60,"six_by_two",6,2,2500,1,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,15473.830909575,500,0.6,0.733333333333333,1.38491337012145,1.08691026589551
61,"one_by_twelve",1,12,500,0.25,"cohort_pulse",3,"poisson",FALSE,NA,"poisson",0,TRUE,4846.17668026897,500,0.7,0.666666666666667,2.70289827333225,Inf
61,"one_by_twelve",1,12,500,0.25,"cohort_pulse",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,4782.78755875583,500,0.7,0.666666666666667,3.01368058910358,Inf
62,"three_by_four",3,4,500,0.25,"cohort_pulse",3,"poisson",FALSE,NA,"poisson",0,TRUE,449.72611443231,500,0.5,0.466666666666667,2.21090262303322,1.94004555460901
62,"three_by_four",3,4,500,0.25,"cohort_pulse",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,363.455749752655,500,0.7,0.666666666666667,1.90264763259059,1.6250345316787
63,"six_by_two",6,2,500,0.25,"cohort_pulse",3,"poisson",FALSE,NA,"poisson",0,TRUE,473.52786236284,500,0.6,0.533333333333333,2.61262977168603,2.36050533282677
63,"six_by_two",6,2,500,0.25,"cohort_pulse",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1600.00346795543,500,0.6,0.533333333333333,2.48598025782446,2.27567781697984
64,"one_by_twelve",1,12,2500,0.25,"cohort_pulse",3,"poisson",FALSE,NA,"poisson",0,FALSE,30168.7924369737,500,1,1,0.538969154416337,0.534509122957093
64,"one_by_twelve",1,12,2500,0.25,"cohort_pulse",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,28143.8775054717,500,0.7,0.6,1.57988278291784,1.79462726499043
65,"three_by_four",3,4,2500,0.25,"cohort_pulse",3,"poisson",FALSE,NA,"poisson",0,TRUE,5832.54658815825,500,0.7,0.666666666666667,1.68375808093475,1.97565640154745
65,"three_by_four",3,4,2500,0.25,"cohort_pulse",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,5675.41979809604,500,0.7,0.666666666666667,1.66799684363891,1.92898995500767
66,"six_by_two",6,2,2500,0.25,"cohort_pulse",3,"poisson",FALSE,NA,"poisson",0,TRUE,5526.75174243158,500,0.8,0.8,1.60207854516069,1.44398703308791
66,"six_by_two",6,2,2500,0.25,"cohort_pulse",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,5121.00918739766,500,0.8,0.866666666666667,1.58917323128291,1.39825551753173
67,"one_by_twelve",1,12,500,1,"cohort_pulse",3,"poisson",FALSE,NA,"poisson",0,TRUE,13973.9728381975,500,1,0.866666666666667,0.872159092869257,1.22415166919071
67,"one_by_twelve",1,12,500,1,"cohort_pulse",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,11838.0469609138,500,1,0.866666666666667,0.881707757052645,1.22152227183585
68,"three_by_four",3,4,500,1,"cohort_pulse",3,"poisson",FALSE,NA,"poisson",0,TRUE,4242.34985468676,500,0.9,0.866666666666667,1.12743753449135,1.25343647205853
