"truth_name","borrowing","bias_multiplier","replicate","curve_rmse","coverage_at_80","width_at_80","robust_weight"
"baseline","robust",0.25,20,0.102324523463143,TRUE,0.143460653891507,0.939854082037061
"baseline","robust",0.25,21,0.0355473430002615,FALSE,0.228011788450088,0.863374780105442
"baseline","robust",0.25,22,0.097102105643331,TRUE,0.316715004721213,0.381794460498411
"baseline","robust",0.25,23,0.0069546496351905,TRUE,0.0676352070648175,0.995311812146583
"baseline","robust",0.25,24,0.056479620492974,TRUE,0.0741434002876434,0.9877042728509
"baseline","robust",0.25,25,0.029808845840242,TRUE,0.0720764425216144,0.98602347173202
"baseline","robust",0.25,26,0.21992449180065,FALSE,0.439821937511794,0.0803159321582302
"baseline","robust",0.25,27,0.105950849838136,TRUE,0.0861326854892495,0.925986454006002
"baseline","robust",0.25,28,0.0680128087175504,TRUE,0.0709611564078603,0.990520367772881
"baseline","robust",0.25,29,0.0738820288640068,TRUE,0.06987734345714,0.990215916865118
"baseline","robust",0.25,3,0.388714278812337,TRUE,0.16875884349192,0.0937490970599293
"baseline","robust",0.25,30,0.0975399632070544,TRUE,0.16214883226869,0.90734619926524
"baseline","robust",0.25,4,0.0977211875402669,TRUE,0.153305875573513,0.882724932328609
"baseline","robust",0.25,5,0.0262706839094733,FALSE,0.0680927052818595,0.992910360302528
"baseline","robust",0.25,6,0.0648678813111339,FALSE,0.0806146442332824,0.994404939021027
"baseline","robust",0.25,7,0.090406605185096,FALSE,0.0802588132703806,0.982069083497859
"baseline","robust",0.25,8,0.0790734034171551,FALSE,0.246197846957917,0.836178313925022
"baseline","robust",0.25,9,0.289433885051905,TRUE,0.212465297667012,0.185331642943018
"baseline","robust",0.5,1,0.328180691400524,FALSE,0.247715130239361,0.0329239407052548
"baseline","robust",0.5,11,0.154082276898851,FALSE,0.432324592278066,0.493638641762288
"baseline","robust",0.5,12,0.119378936226249,FALSE,0.0743045856212169,0.990961072054444
"baseline","robust",0.5,13,0.473770825093756,FALSE,0.107507732288243,6.70665978535394e-06
"baseline","robust",0.5,14,0.0563816042491366,FALSE,0.0775297792980142,0.990199282321912
"baseline","robust",0.5,15,1.04045783033671,TRUE,0.219899191062115,0.000115314910629075
"baseline","robust",0.5,16,0.0615120089652291,FALSE,0.0871435835244452,0.989578327786907
"baseline","robust",0.5,17,0.173797792905072,FALSE,0.186106884021518,0.00524777456505971
"baseline","robust",0.5,18,0.0627500987562548,FALSE,0.0841174399789868,0.995221937928659
"baseline","robust",0.5,19,0.0903074252692453,FALSE,0.0845443630769213,0.991859201308177
"baseline","robust",0.5,2,0.267619581446527,FALSE,0.240996599637375,0.00812769570126202
"baseline","robust",0.5,20,0.0500126872510681,TRUE,0.161514225324839,0.765856121220306
"baseline","robust",0.5,21,0.0533041248657877,FALSE,0.173635153463553,0.939725979562538
"baseline","robust",0.5,22,0.0567139217667464,FALSE,0.0948801323366126,0.977765033196347
"baseline","robust",0.5,23,0.0409011515472475,FALSE,0.0787876551827546,0.991612745188367
"baseline","robust",0.5,24,0.0387573417490479,TRUE,0.0728509684047818,0.986641245774844
"baseline","robust",0.5,25,0.0789532928337895,FALSE,0.0831805355036188,0.995393645069102
"baseline","robust",0.5,26,0.141128013412506,FALSE,0.385520706564145,0.549182941090071
"baseline","robust",0.5,27,0.15530674980555,TRUE,0.188444992198747,0.218251329878305
"baseline","robust",0.5,28,0.0438329302264165,TRUE,0.134831901594416,0.939390014642252
"baseline","robust",0.5,29,0.117913596175692,TRUE,0.0717820052725786,0.994214480310293
"baseline","robust",0.5,3,0.388909125188017,TRUE,0.176166750333901,0.0782387646326132
"baseline","robust",0.5,30,0.163057546346046,FALSE,0.0751743016047143,0.988670949165459
"baseline","robust",0.5,4,0.238009825380609,TRUE,0.154849223681554,0.0193177724448463
"baseline","robust",0.5,5,0.0749026267093719,FALSE,0.0739327635107605,0.997412301796431
"baseline","robust",0.5,6,0.0756008508333456,FALSE,0.0797952665670087,0.994797687902564
"baseline","robust",0.5,7,0.111670040743333,FALSE,0.0764347492002534,0.991689501660668
"baseline","robust",0.5,8,0.0394944358929046,FALSE,0.237160836692558,0.906946527023027
